episode :   8, step_count :  30, i =   2, max_step = 18 
episode :   8, step_count :  31, i =   2, max_step = 18 
episode :   8, step_count :  32, i =   2, max_step = 18 
episode :   9, step_count :   1, i =   2, max_step = 32 
episode :   9, step_count :   2, i =   2, max_step = 32 
episode :   9, step_count :   3, i =   2, max_step = 32 
episode :   9, step_count :   4, i =   2, max_step = 32 
episode :   9, step_count :   5, i =   2, max_step = 32 
episode :   9, step_count :   6, i =   2, max_step = 32 
episode :   9, step_count :   7, i =   2, max_step = 32 
episode :   9, step_count :   8, i =   2, max_step = 32 
episode :   9, step_count :   9, i =   2, max_step = 32 
episode :   9, step_count :  10, i =   2, max_step = 32 
episode :   9, step_count :  11, i =   2, max_step = 32 
episode :   9, step_count :  12, i =   2, max_step = 32 
episode :   9, step_count :  13, i =   2, max_step = 32 
episode :   9, step_count :  14, i =   2, max_step = 32 
episode :   9, step_count :  15, i =   2, max_step = 32 
episode :   9, step_count :  16, i =   2, max_step = 32 
episode :   9, step_count :  17, i =   2, max_step = 32 
episode :   9, step_count :  18, i =   2, max_step = 32 
episode :   9, step_count :  19, i =   2, max_step = 32 
episode :   9, step_count :  20, i =   2, max_step = 32 
episode :  10, step_count :   1, i =   2, max_step = 32 
episode :  10, step_count :   2, i =   2, max_step = 32 
episode :  10, step_count :   3, i =   2, max_step = 32 
episode :  10, step_count :   4, i =   2, max_step = 32 
episode :  10, step_count :   5, i =   2, max_step = 32 
episode :  10, step_count :   6, i =   2, max_step = 32 
episode :  10, step_count :   7, i =   2, max_step = 32 
episode :  10, step_count :   8, i =   2, max_step = 32 
episode :  10, step_count :   9, i =   2, max_step = 32 
episode :  10, step_count :  10, i =   2, max_step = 32 
episode :  10, step_count :  11, i =   2, max_step = 32 
episode :  10, step_count :  12, i =   2, max_step = 32 
episode :  10, step_count :  13, i =   2, max_step = 32 
episode :  10, step_count :  14, i =   2, max_step = 32 
episode :  11, step_count :   1, i =   2, max_step = 32 
episode :  11, step_count :   2, i =   2, max_step = 32 
episode :  11, step_count :   3, i =   2, max_step = 32 
episode :  11, step_count :   4, i =   2, max_step = 32 
episode :  11, step_count :   5, i =   2, max_step = 32 
episode :  11, step_count :   6, i =   2, max_step = 32 
episode :  11, step_count :   7, i =   2, max_step = 32 
episode :  11, step_count :   8, i =   2, max_step = 32 
episode :  11, step_count :   9, i =   2, max_step = 32 
episode :  11, step_count :  10, i =   2, max_step = 32 
episode :  11, step_count :  11, i =   2, max_step = 32 
episode :  11, step_count :  12, i =   2, max_step = 32 
episode :  11, step_count :  13, i =   2, max_step = 32 
episode :  11, step_count :  14, i =   2, max_step = 32 
episode :  12, step_count :   1, i =   2, max_step = 32 
episode :  12, step_count :   2, i =   2, max_step = 32 
episode :  12, step_count :   3, i =   2, max_step = 32 
episode :  12, step_count :   4, i =   2, max_step = 32 
episode :  12, step_count :   5, i =   2, max_step = 32 
episode :  12, step_count :   6, i =   2, max_step = 32 
episode :  12, step_count :   7, i =   2, max_step = 32 
episode :  12, step_count :   8, i =   2, max_step = 32 
episode :  12, step_count :   9, i =   2, max_step = 32 
episode :  12, step_count :  10, i =   2, max_step = 32 
episode :  12, step_count :  11, i =   2, max_step = 32 
episode :  12, step_count :  12, i =   2, max_step = 32 
episode :  12, step_count :  13, i =   2, max_step = 32 
episode :  12, step_count :  14, i =   2, max_step = 32 
episode :  13, step_count :   1, i =   2, max_step = 32 
episode :  13, step_count :   2, i =   2, max_step = 32 
episode :  13, step_count :   3, i =   2, max_step = 32 
episode :  13, step_count :   4, i =   2, max_step = 32 
episode :  13, step_count :   5, i =   2, max_step = 32 
episode :  13, step_count :   6, i =   2, max_step = 32 
episode :  14, step_count :   1, i =   2, max_step = 32 
episode :  14, step_count :   2, i =   2, max_step = 32 
episode :  14, step_count :   3, i =   2, max_step = 32 
episode :  14, step_count :   4, i =   2, max_step = 32 
episode :  14, step_count :   5, i =   2, max_step = 32 
episode :  14, step_count :   6, i =   2, max_step = 32 
episode :  14, step_count :   7, i =   2, max_step = 32 
episode :  14, step_count :   8, i =   2, max_step = 32 
episode :  14, step_count :   9, i =   2, max_step = 32 
episode :  14, step_count :  10, i =   2, max_step = 32 
episode :  14, step_count :  11, i =   2, max_step = 32 
episode :  14, step_count :  12, i =   2, max_step = 32 
episode :  14, step_count :  13, i =   2, max_step = 32 
episode :  14, step_count :  14, i =   2, max_step = 32 
episode :  14, step_count :  15, i =   2, max_step = 32 
episode :  14, step_count :  16, i =   2, max_step = 32 
episode :  14, step_count :  17, i =   2, max_step = 32 
episode :  14, step_count :  18, i =   2, max_step = 32 
episode :  15, step_count :   1, i =   2, max_step = 32 
episode :  15, step_count :   2, i =   2, max_step = 32 
episode :  15, step_count :   3, i =   2, max_step = 32 
episode :  15, step_count :   4, i =   2, max_step = 32 
episode :  15, step_count :   5, i =   2, max_step = 32 
episode :  15, step_count :   6, i =   2, max_step = 32 
episode :  15, step_count :   7, i =   2, max_step = 32 
episode :  15, step_count :   8, i =   2, max_step = 32 
episode :  15, step_count :   9, i =   2, max_step = 32 
episode :  16, step_count :   1, i =   2, max_step = 32 
episode :  16, step_count :   2, i =   2, max_step = 32 
episode :  16, step_count :   3, i =   2, max_step = 32 
episode :  16, step_count :   4, i =   2, max_step = 32 
episode :  16, step_count :   5, i =   2, max_step = 32 
episode :  16, step_count :   6, i =   2, max_step = 32 
episode :  16, step_count :   7, i =   2, max_step = 32 
episode :  16, step_count :   8, i =   2, max_step = 32 
episode :  16, step_count :   9, i =   2, max_step = 32 
episode :  16, step_count :  10, i =   2, max_step = 32 
episode :  16, step_count :  11, i =   2, max_step = 32 
episode :  16, step_count :  12, i =   2, max_step = 32 
episode :  16, step_count :  13, i =   2, max_step = 32 
episode :  16, step_count :  14, i =   2, max_step = 32 
episode :  17, step_count :   1, i =   2, max_step = 32 
episode :  17, step_count :   2, i =   2, max_step = 32 
episode :  17, step_count :   3, i =   2, max_step = 32 
episode :  17, step_count :   4, i =   2, max_step = 32 
episode :  17, step_count :   5, i =   2, max_step = 32 
episode :  17, step_count :   6, i =   2, max_step = 32 
episode :  18, step_count :   1, i =   2, max_step = 32 
episode :  18, step_count :   2, i =   2, max_step = 32 
episode :  18, step_count :   3, i =   2, max_step = 32 
episode :  18, step_count :   4, i =   2, max_step = 32 
episode :  18, step_count :   5, i =   2, max_step = 32 
episode :  18, step_count :   6, i =   2, max_step = 32 
episode :  18, step_count :   7, i =   2, max_step = 32 
episode :  18, step_count :   8, i =   2, max_step = 32 
episode :  18, step_count :   9, i =   2, max_step = 32 
episode :  18, step_count :  10, i =   2, max_step = 32 
episode :  18, step_count :  11, i =   2, max_step = 32 
episode :  18, step_count :  12, i =   2, max_step = 32 
episode :  18, step_count :  13, i =   2, max_step = 32 
episode :  18, step_count :  14, i =   2, max_step = 32 
episode :  18, step_count :  15, i =   2, max_step = 32 
episode :  18, step_count :  16, i =   2, max_step = 32 
episode :  18, step_count :  17, i =   2, max_step = 32 
episode :  18, step_count :  18, i =   2, max_step = 32 
episode :  18, step_count :  19, i =   2, max_step = 32 
episode :  18, step_count :  20, i =   2, max_step = 32 
episode :  18, step_count :  21, i =   2, max_step = 32 
episode :  18, step_count :  22, i =   2, max_step = 32 
episode :  18, step_count :  23, i =   2, max_step = 32 
episode :  18, step_count :  24, i =   2, max_step = 32 
episode :  18, step_count :  25, i =   2, max_step = 32 
episode :  18, step_count :  26, i =   2, max_step = 32 
episode :  18, step_count :  27, i =   2, max_step = 32 
episode :  18, step_count :  28, i =   2, max_step = 32 
episode :  18, step_count :  29, i =   2, max_step = 32 
episode :  18, step_count :  30, i =   2, max_step = 32 
episode :  18, step_count :  31, i =   2, max_step = 32 
episode :  18, step_count :  32, i =   2, max_step = 32 
episode :  18, step_count :  33, i =   2, max_step = 32 
episode :  18, step_count :  34, i =   2, max_step = 32 
episode :  18, step_count :  35, i =   2, max_step = 32 
episode :  18, step_count :  36, i =   2, max_step = 32 
episode :  18, step_count :  37, i =   2, max_step = 32 
episode :  18, step_count :  38, i =   2, max_step = 32 
episode :  18, step_count :  39, i =   2, max_step = 32 
episode :  18, step_count :  40, i =   2, max_step = 32 
episode :  18, step_count :  41, i =   2, max_step = 32 
episode :  18, step_count :  42, i =   2, max_step = 32 
episode :  18, step_count :  43, i =   2, max_step = 32 
episode :  18, step_count :  44, i =   2, max_step = 32 
episode :  18, step_count :  45, i =   2, max_step = 32 
episode :  18, step_count :  46, i =   2, max_step = 32 
episode :  18, step_count :  47, i =   2, max_step = 32 
episode :  18, step_count :  48, i =   2, max_step = 32 
episode :  18, step_count :  49, i =   2, max_step = 32 
episode :  18, step_count :  50, i =   2, max_step = 32 
episode :  18, step_count :  51, i =   2, max_step = 32 
episode :  18, step_count :  52, i =   2, max_step = 32 
episode :  18, step_count :  53, i =   2, max_step = 32 
episode :  18, step_count :  54, i =   2, max_step = 32 
episode :  18, step_count :  55, i =   2, max_step = 32 
episode :  18, step_count :  56, i =   2, max_step = 32 
episode :  18, step_count :  57, i =   2, max_step = 32 
episode :  18, step_count :  58, i =   2, max_step = 32 
episode :  18, step_count :  59, i =   2, max_step = 32 
episode :  18, step_count :  60, i =   2, max_step = 32 
episode :  18, step_count :  61, i =   2, max_step = 32 
